"t_ano","0.71","0.75","0.81","0.85","0.9","0.95","1","1.1","1.24","1.35","1.49","1.66"
"0.19","Sem observações","Sem observações","Sem observações","101%","43%","0%","19%","2%","0%","0%","-6%","-8%"
"0.37","103%","99%","101%","70%","1%","6%","20%","9%","2%","0%","-6%","Sem observações"
"0.57","Sem observações","Sem observações","Sem observações","30%","-11%","10%","1%","-8%","-15%","1%","-5%","Sem observações"
"0.82","Sem observações","Sem observações","31%","-17%","-9%","11%","16%","-16%","Sem observações","-12%","Sem observações","Sem observações"
"1.05","Sem observações","72%","3%","-27%","-7%","8%","Sem observações","12%","5%","Sem observações","-4%","-6%"
"1.3","Sem observações","36%","-39%","-60%","-30%","7%","12%","10%","5%","3%","-5%","-5%"
"1.38","59%","9%","-86%","-33%","-8%","-15%","11%","11%","-15%","2%","-11%","-10%"
