contractSymbol,lastTradeDate,strike,preco,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type_option,spot,expiry,ano_vencimento,moneyness
SPY201113C00240000,2020-10-19 04:04:35,240.0,108.75,113.23,114.09,0.0,0.0,,1.0,2.1220750073242183,True,REGULAR,USD,calls,339.76,2020-11-12 00:00:00,0.005555555555555556,1.4156666666666666
SPY201113C00245000,2020-11-02 19:05:33,245.0,82.8,108.61,109.05,0.0,0.0,20.0,20.0,2.0839891650390623,True,REGULAR,USD,calls,339.76,2020-11-12 00:00:00,0.005555555555555556,1.3867755102040815
SPY201113C00250000,2020-10-30 14:38:43,250.0,75.71,103.63,104.05,0.0,0.0,1.0,1.0,1.9897461450195313,True,REGULAR,USD,calls,339.76,2020-11-12 00:00:00,0.005555555555555556,1.35904
SPY201113C00260000,2020-10-19 20:20:38,260.0,89.76,93.61,94.02,0.0,0.0,,5.0,1.7919932275390624,True,REGULAR,USD,calls,339.76,2020-11-12 00:00:00,0.005555555555555556,1.3067692307692307
SPY201113C00265000,2020-11-06 16:15:28,265.0,96.67,88.59,89.02,0.0,0.0,1.0,5.0,1.6962905810546878,True,REGULAR,USD,calls,339.76,2020-11-12 00:00:00,0.005555555555555556,1.2821132075471697
SPY201113C00275000,2020-10-13 18:33:35,275.0,74.99,86.24,86.77,0.0,0.0,3.0,3.0,2.6779818206787107,True,REGULAR,USD,calls,339.76,2020-11-12 00:00:00,0.005555555555555556,1.235490909090909
SPY201113C00280000,2020-11-06 16:28:50,280.0,70.15,73.54,73.95,0.0,0.0,2.0,18.0,1.4091826416015625,True,REGULAR,USD,calls,339.76,2020-11-12 00:00:00,0.005555555555555556,1.2134285714285713
SPY201113C00285000,2020-11-09 14:36:17,285.0,79.14,68.72,69.06,0.0,0.0,2.0,103.0,1.3559602514648437,True,REGULAR,USD,calls,339.76,2020-11-12 00:00:00,0.005555555555555556,1.192140350877193
SPY201113C00290000,2020-11-06 20:30:52,290.0,60.18,63.58,63.96,0.0,0.0,18.0,45.0,1.2397498950195311,True,REGULAR,USD,calls,339.76,2020-11-12 00:00:00,0.005555555555555556,1.1715862068965517
SPY201113C00295000,2020-11-06 14:37:11,295.0,54.0,58.63,58.86,0.0,0.0,6.0,101.0,1.1474652001953123,True,REGULAR,USD,calls,339.76,2020-11-12 00:00:00,0.005555555555555556,1.151728813559322
SPY201113C00300000,2020-11-09 19:53:06,300.0,59.35,53.59,53.84,0.0,0.0,4.0,291.0,1.0546922265625,True,REGULAR,USD,calls,339.76,2020-11-12 00:00:00,0.005555555555555556,1.1325333333333334
SPY201113C00302500,2020-11-02 16:01:00,302.5,30.01,51.1,51.49,0.0,0.0,,10.0,1.0283251708984378,True,REGULAR,USD,calls,339.76,2020-11-12 00:00:00,0.005555555555555556,1.1231735537190082
SPY201113C00303000,2020-11-04 14:30:21,303.0,38.88,50.55,50.93,0.0,0.0,,0.0,1.0085498791503906,True,REGULAR,USD,calls,339.76,2020-11-12 00:00:00,0.005555555555555556,1.1213201320132014
SPY201113C00304000,2020-11-06 15:58:22,304.0,46.08,49.69,49.94,0.0,0.0,14.0,14.0,1.0063526245117185,True,REGULAR,USD,calls,339.76,2020-11-12 00:00:00,0.005555555555555556,1.1176315789473683
SPY201113C00305000,2020-11-06 21:03:42,305.0,45.45,48.64,48.91,0.0,0.0,6.0,31.0,0.981445498046875,True,REGULAR,USD,calls,339.76,2020-11-12 00:00:00,0.005555555555555556,1.113967213114754
SPY201113C00306000,2020-11-03 15:51:08,306.0,32.95,47.63,47.91,0.0,0.0,,0.0,0.9631351342773438,True,REGULAR,USD,calls,339.76,2020-11-12 00:00:00,0.005555555555555556,1.1103267973856208
SPY201113C00307000,2020-11-04 15:29:06,307.0,38.8,46.49,46.9,0.0,0.0,,105.0,0.9311530322265625,True,REGULAR,USD,calls,339.76,2020-11-12 00:00:00,0.005555555555555556,1.1067100977198696
SPY201113C00308000,2020-11-05 16:24:54,308.0,43.45,45.56,45.77,0.0,0.0,1.0,0.0,0.9082040429687499,True,REGULAR,USD,calls,339.76,2020-11-12 00:00:00,0.005555555555555556,1.1031168831168832
