Quantidade,Vencimento (em anos)
99,0.18
94,0.1
84,0.36
81,0.02
78,0.14
72,0.28
62,0.61
55,0.06
54,0.39
51,0.08
51,0.04
50,0.05
45,1.11
43,0.04
41,0.43
41,0.86
41,0.06
38,0.03
37,0.02
37,0.01
37,2.12
35,0.53
35,1.21
34,0.12
32,0.64
31,0.07
28,2.22
23,0.08
16,1.37
16,0.9
11,1.62
9,1.87
6,0.09
